FILE,BEAM,TARGET_NAME,TARGET_TYPE,FIXED-MOVING,RA,DEC,UT_DATE,UT_TIME,MJD,AIRMASS,INTEGRATION,COADDS,INSTRUMENT,SLIT,MODE,PROGRAM,OBSERVER,SIMBAD_SEP,SIMBAD_NAME,SIMBAD_TYPE,SIMBAD_BMAG,SIMBAD_VMAG,SIMBAD_JMAG,SIMBAD_HMAG,SIMBAD_KMAG,NOTES
sbd.2022B046.221019.spc.00001.a.fits,A,2010-1707,target,fixed,+20:10:49.21,-17:07:09.9,2022-10-19,04:49:45.636423,59871.20122264379,1.25,59.7722,1,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.spc.00002.b.fits,B,2010-1707,target,fixed,+20:10:49.22,-17:07:02.6,2022-10-19,04:51:07.642657,59871.20217179001,1.25,59.7722,1,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.spc.00007.a.fits,A,HD_193689,standard,fixed,+20:22:14.00,-15:37:33.2,2022-10-19,04:59:46.670784,59871.20817906,1.226,0.9267,4,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.spc.00008.b.fits,B,HD_193689,standard,fixed,+20:22:14.02,-15:37:25.9,2022-10-19,05:00:02.556544,59871.20836292296,1.226,0.9267,4,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.flat.00015.a.fits,A,flat lamp,calibration,fixed,+20:22:14.00,-15:37:33.2,2022-10-19,05:02:16.143920,59871.20990907315,1.226,0.4634,12,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.flat.00016.a.fits,A,flat lamp,calibration,fixed,+20:22:14.00,-15:37:33.2,2022-10-19,05:02:34.610520,59871.210122806944,1.227,0.4634,12,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.flat.00017.a.fits,A,flat lamp,calibration,fixed,+20:22:14.00,-15:37:33.2,2022-10-19,05:02:53.094550,59871.21033674248,1.227,0.4634,12,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.flat.00018.a.fits,A,flat lamp,calibration,fixed,+20:22:14.00,-15:37:33.2,2022-10-19,05:03:11.614808,59871.21055109731,1.227,0.4634,12,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.flat.00019.a.fits,A,flat lamp,calibration,fixed,+20:22:14.00,-15:37:33.2,2022-10-19,05:03:30.141626,59871.21076552808,1.227,0.4634,12,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
sbd.2022B046.221019.arc.00020.a.fits,A,arc lamp,calibration,fixed,+20:22:14.00,-15:37:33.2,2022-10-19,05:04:00.912750,59871.21112167535,1.227,0.4634,10,uspex,0.8x15,Prism,2022B046,Theissen,,,,,,,,,
